character_or_faction,color_id,default_type,rarity_hint,mechanics_hints,notes
Izuku Midoriya,G W,Legendary Creature - Human Hero,Mythic,counters;sacrifice self;search library,One For All successor
Izuku Midoriya,W U R,Legendary Creature - Human Hero,Mythic,flying;haste;vigilance,Full Cowl 100% mode
Detroit Smash,G W,Instant,Rare,fight;huge pump spell,Deku signature move
Delaware Smash,U G,Instant,Uncommon,tap target;damage to flier,Air force attack
Katsuki Bakugo,R,Legendary Creature - Human Hero,Rare,haste;direct damage;sacrifice land,Explosion quirk
Katsuki Bakugo,R W,Legendary Creature - Human Hero,Mythic,double strike;trample,Hero uniform version
AP Shot,R,Instant,Rare,damage can't be prevented;piercing,Bakugo special move
Howitzer Impact,R R,Sorcery,Mythic,board wipe damage;flying requirement,Bakugo ultimate
Shoto Todoroki,U R,Legendary Creature - Human Hero,Mythic,tap target;damage target;modal spells,Half-Cold Half-Hot
Flashfreeze Heatwave,U R,Sorcery,Rare,tap all creatures;deal damage to tapped,Combo move
Heaven-Piercing Ice Wall,U,Instant,Uncommon,fog effect;tap creatures,Defensive ice
Ochaco Uraraka,W U,Legendary Creature - Human Hero,Rare,flying;levitate others;return to hand,Zero Gravity
Meteor Shower,W R,Sorcery,Rare,destroy artifacts;damage based on artifacts,Improvised attack
Tenya Iida,W U,Legendary Creature - Human Hero,Rare,haste;flash;vigilance,Engine quirk
Recipro Burst,U,Instant,Uncommon,give haste;unblockable until end of turn,Speed boost
Tsuyu Asui,G U,Legendary Creature - Human Hero,Rare,reach;islandwalk;flash,Frog quirk
Camouflage,G U,Instant,Common,hexproof;regenerate,Stealth mode
Eijiro Kirishima,R W,Legendary Creature - Human Hero,Rare,indestructible;defender to attacker,Hardening
Red Riot Unbreakable,R,Enchantment - Aura,Rare,base toughness becomes 10;indestructible,Ultimate hardening
Momo Yaoyorozu,U G,Legendary Creature - Human Hero,Mythic,create tokens;search artifact;clue tokens,Creation quirk
Creation Cannon,X,Artifact,Rare,enter battlefield effect;damage,Created weapon
Fumikage Tokoyami,B,Legendary Creature - Human Hero,Rare,menace;shadow;token generation,Dark Shadow
Dark Shadow,B,Creature - Spirit,Uncommon,flying;bound to Tokoyami,The sentient quirk
Black Ankh,B,Enchantment - Aura,Uncommon,buff creature;menace,Defensive technique
Denki Kaminari,R U,Legendary Creature - Human Hero,Uncommon,damage to all;stun self,Electrification
Indiscriminate Shock,R,Sorcery,Rare,damage to all creatures including yours,1.3 million volts
Kyoka Jiro,R B,Legendary Creature - Human Hero,Uncommon,tap;damage to creature;scry,Earphone Jack
Heartbeat Distortion,B,Instant,Common,weaken toughness;counter ability,Sound attack
Mina Ashido,B R,Legendary Creature - Human Hero,Uncommon,acid counters;destroy equipment,Acid quirk
Acid Veil,B G,Instant,Uncommon,prevent damage;wither,Defensive acid
Hanta Sero,G W,Legendary Creature - Human Hero,Uncommon,tap target;create wall token,Tape quirk
Mezo Shoji,G,Legendary Creature - Human Hero,Uncommon,scout;vigilance;reach,Dupli-Arms
Koji Koda,G,Legendary Creature - Human Hero,Common,control animals;forestwalk,Anivoice
Rikido Sato,R G,Legendary Creature - Human Hero,Common,trample;pump +X/+0;sacrifice food,Sugar Rush
Mashirao Ojiro,W,Legendary Creature - Human Hero,Common,first strike;bushido,Tail martial arts
Toru Hagakure,W U,Legendary Creature - Human Hero,Uncommon,unblockable;hexproof,Invisibility
Minoru Mineta,U,Legendary Creature - Human Hero,Common,tap target;doesn't untap,Sticky balls
Yuga Aoyama,W,Legendary Creature - Human Hero,Uncommon,flash;beam damage,Navel Laser
All Might,W R,Legendary Creature - Human Hero,Mythic,indestructible;double strike;anthem effect,Symbol of Peace
All Might (Weakened),W,Legendary Creature - Human Hero,Rare,mentor;reveal top cards,Teacher form
United States of Smash,W R W,Sorcery,Mythic,exile target;massive damage,The final move
Texas Smash,R W,Instant,Common,damage to target creature;knockback,Basic punch
Shota Aizawa,U B,Legendary Creature - Human Hero,Rare,creatures lose abilities;tap,Erasure
Erasure Glare,U B,Enchantment - Aura,Uncommon,enchanted creature loses abilities,Quirk nullification
Present Mic,R,Legendary Creature - Human Hero,Uncommon,damage to all flyers;goad,Voice quirk
Midnight,B U,Legendary Creature - Human Hero,Rare,sleep;tap creatures;control magic,Somnambulist
Nemuri Kayama,U B,Planeswalker - Midnight,Mythic,tap abilities;sleep counters,Hero persona
Endeavor,R,Legendary Creature - Human Hero,Mythic,firebreathing;damage upon damage,Hellflame
Prominence Burn,R R,Sorcery,Rare,exile creature;damage to player,Finisher move
Hawks,W U,Legendary Creature - Human Hero,Mythic,flying;haste;scry,Fierce Wings
Feather Blades,W,Instant,Uncommon,damage attacking creature;first strike,Telekinetic feathers
Best Jeanist,W U,Legendary Creature - Human Hero,Rare,tap creatures;detain;control artifact,Fiber Master
Edgeshot,W B,Legendary Creature - Human Hero,Rare,flash;unblockable;phase out,Foldabody
Mirko,R G,Legendary Creature - Human Hero,Rare,haste;trample;fight on etb,Rabbit Hero
Luna Ring,R,Instant,Uncommon,kick damage;stun,Leg attack
Mt. Lady,W G,Legendary Creature - Human Hero,Rare,giant growth;reach;trample,Gigantification
Kamui Woods,G,Legendary Creature - Human Hero,Uncommon,reach;bind;create saprolings,Wood chain
Gran Torino,W U,Legendary Creature - Human Hero,Rare,flash;bounce self;haste,Jet quirk
Recovery Girl,W,Legendary Creature - Human Hero,Uncommon,heal damage;prevent damage,Healing
Nezu,U,Legendary Creature - Rat Advisor,Rare,draw cards;maximum hand size,High Spec
Tomura Shigaraki,B,Legendary Creature - Human Villain,Mythic,destroy target;deathtouch;decay,Decay quirk
Shigaraki (Awakened),B R,Legendary Creature - Human Villain,Mythic,annihilator;board wipe effect,All For One heir
Dust to Dust,B B,Sorcery,Rare,exile all artifacts and creatures,Mass decay
All For One,B U B,Legendary Creature - Human Villain,Mythic,steal abilities;reanimate graveyard,Demon Lord
Quirk Theft,U B,Sorcery,Rare,gain control of creature;it becomes black,Stealing power
Kurogiri,U B,Legendary Creature - Human Villain,Rare,teleport;deflect attack;blink,Warp Gate
Warp Gate,U B,Instant,Uncommon,counter target spell;redirect target,Portal defense
Dabi,B R,Legendary Creature - Human Villain,Rare,damage to self;damage to all,Blueflame
Cremation,B R,Sorcery,Uncommon,exile creature;damage controller,Burning
Himiko Toga,B R,Legendary Creature - Human Villain,Rare,copy creature;gain haste;sacrifice,Transform
Blood Transform,B,Instant,Rare,become copy of target creature until eot,Disguise
Twice,B R,Legendary Creature - Human Villain,Rare,create token copies;populate,Double quirk
Sad Man's Parade,B R,Sorcery,Mythic,create X tokens that are copies,Infinite doubles
Mr. Compress,U R,Legendary Creature - Human Villain,Uncommon,exile target;return later;shrink,Compress
Marbleize,U,Instant,Uncommon,phase out target;return to hand,Capture
Spinner,G B,Legendary Creature - Lizard Villain,Uncommon,menace;trample,Gecko quirk
Muscular,R G,Legendary Creature - Human Villain,Rare,pump +X/+X;trample;monstrosity,Muscle augmentation
Moonfish,B,Legendary Creature - Human Villain,Uncommon,reach;deathtouch,Blade teeth
Mustard,B G,Legendary Creature - Human Villain,Uncommon,poison counters;fog,Gas quirk
Stain,W B R,Legendary Creature - Human Villain,Mythic,first strike;destroy hero;deathtouch,Hero Killer
Bloodcurdle,B R,Instant,Rare,tap target;put stun counter,Paralysis
Overhaul,W B,Legendary Creature - Human Villain,Mythic,sacrifice to regenerate;destroy and return,Matter reconstruction
Kai Chisaki,W B,Planeswalker - Overhaul,Mythic,destroy target;create horror token,Yakuza boss
Chronostasis,U,Legendary Creature - Human Villain,Uncommon,tap creature;doesn't untap next turn,Slow beam
Rappa,R G,Legendary Creature - Human Villain,Uncommon,double strike;attack each turn,Strongarm
Gentle Criminal,U W,Legendary Creature - Human Villain,Uncommon,flying;deflect;bounce,Elasticity
La Brava,R,Legendary Creature - Human Villain,Uncommon,target gets +X/+X;love counters,Love quirk
Re-Destro,B R,Legendary Creature - Human Villain,Rare,power equals life lost;trample,Stress output
Stress Output 100%,B R,Sorcery,Rare,huge damage based on life difference,Stress bomb
Geten,U,Legendary Creature - Human Villain,Rare,control ice;tap lands,Ice manipulation
Gigantomachia,R G,Legendary Creature - Avatar,Mythic,trample;hexproof;cannot be countered,Walking disaster
Nomu (USJ),B G,Creature - Zombie Mutant,Rare,regenerate;reach;trample,Anti-Symbol of Peace
High-End Nomu,B U,Creature - Zombie Mutant,Mythic,flying;haste;intelligent,Hood
Generic Nomu,B,Creature - Zombie Mutant,Common,decay;zombie synergy,Mass produced
Mei Hatsume,U R,Legendary Creature - Human Artificer,Rare,search equipment;reduce equip cost,Zoom quirk
Power Loader,W,Legendary Creature - Human Artificer,Uncommon,vehicle synergy;dig,Excavation
Support Item: Grenadier Bracers,R,Artifact - Equipment,Uncommon,equipped gets +2/+0;reach,Bakugo gear
Support Item: Iron Soles,R,Artifact - Equipment,Uncommon,equipped gets +1/+0;kick bonus,Deku gear
Support Item: Capture Scarf,U B,Artifact - Equipment,Rare,tap equipped creature;tap target,Aizawa gear
Support Item: Jet Boots,U,Artifact - Equipment,Common,flying;haste,generic gear
U.A. High School,N/A,Legendary Land,Rare,add generic;add color for heroes,The fortress
U.S.J. Facility,N/A,Land,Uncommon,add colorless;create disaster token,Training ground
Tartarus Prison,N/A,Legendary Land,Rare,exile creature;jail effect,Maximum security
League Hideout,B R,Land,Uncommon,add B or R;pain land,Villain bar
Kamino Ward,N/A,Legendary Land,Mythic,battlefield effect;historical site,All Might vs AFO
